Size;Standard;Hybrid_5;Hybrid_10;Hybrid_15;Hybrid_20;Hybrid_30;Hybrid_50
32300;20250;14639;13395;12480;11848;12644;11878
32400;20156;14606;12578;12423;11800;11856;11775
32500;20207;14646;12629;12487;11908;11892;11785
32600;20266;14621;12659;12577;12017;11936;11946
32700;20501;14745;12650;12732;11852;11835;11927
32800;20580;14807;12853;12774;11976;12449;11914
32900;21204;14739;13537;12734;12019;11925;12140
33000;21746;14881;13112;12846;12047;12257;12089
33100;20794;14996;13443;12884;11984;12317;12204
33200;22722;15525;13314;12912;12783;12691;12206
33300;20839;14846;13120;12948;12137;12095;12209
33400;20804;15067;13444;12913;12301;12177;12345
33500;21085;15130;13006;13035;12202;12269;12309
33600;21046;15111;13033;13076;12349;12209;12308
33700;21121;15078;13151;13720;12446;12895;12446
33800;21369;15183;13536;13204;12354;12995;12523
33900;21980;15336;14032;13353;12680;12406;12495
34000;21916;15416;13313;13258;12634;12423;12455
34100;21610;15712;13609;13290;12531;12613;12824
34200;21992;15515;13301;13433;12642;12504;12902
34300;22349;15784;13877;14247;13961;13109;13431
34400;21836;16057;13420;13563;12681;12625;12791
34500;21876;15561;13422;13495;12588;12625;12754
34600;22017;15932;13414;13979;14432;12699;13658
34700;22182;15540;13901;14210;12881;12682;12873
34800;22041;15599;13558;13568;12863;12936;12964
34900;22948;16316;14412;14836;13690;13555;13453
35000;22357;15670;13780;13995;13194;13055;13441
35100;22442;15866;13752;13789;12958;12938;13042
35200;23042;15798;13724;13653;12922;14121;14850
35300;22766;15815;13733;13817;13019;13187;13319
35400;22558;15944;13739;13778;13037;13557;13181
35500;24298;16875;14184;14075;13052;13366;14066
35600;23198;16134;14083;14050;13366;13177;14288
35700;23666;16394;14435;14590;13985;13282;13767
35800;23517;16449;14193;14257;13415;13378;13485
35900;23244;16221;14051;14068;13216;13846;13359
36000;23396;16153;14299;14887;13734;13366;13648
36100;23539;16977;15213;14103;13683;14645;14330
36200;24637;16544;14486;15490;13482;13354;13614
36300;23810;17169;14208;14100;13916;13451;14203
36400;23373;16157;14378;14193;13883;13544;13740
36500;23527;16281;14501;14282;13386;13335;13621
36600;23628;16356;14223;14256;13413;13420;13763
36700;25771;18144;15935;14508;13431;13509;13764
36800;23812;16567;14306;14327;13559;14282;13826
36900;23768;16436;14386;14405;13847;13649;13976
37000;24033;16409;14751;14342;13769;13685;13942
37100;23979;16625;14461;14390;13728;13635;13975
37200;24162;16714;14640;14570;13850;13825;14686
37300;24628;16967;14595;14754;13867;13847;14298
37400;24277;16673;14563;14635;13829;13700;14025
37500;24405;17181;14691;14661;13960;13770;14822
37600;24431;16721;14984;14582;13815;13821;14350
37700;24862;16749;14778;14835;14657;13960;14570
37800;24822;16868;14739;14916;13967;13943;14289
37900;25415;16875;14859;15270;14781;15233;15091
38000;24852;16921;14809;14933;14008;13927;14371
38100;24726;16928;14757;14736;13987;13977;14354
38200;24840;16967;14938;14864;14217;14085;14434
38300;25035;17044;14820;14920;14318;14194;14604
38400;25639;17163;14888;14850;14090;14094;14441
38500;25216;16970;14863;14907;14172;14240;14722
38600;25162;17112;15089;14904;14300;14858;14550
38700;25407;17057;15067;15375;14302;14358;15224
38800;25846;17358;15132;15093;14410;14601;15431
38900;25636;17349;15176;15766;15398;14655;15412
39000;25704;17184;15261;15026;14487;14364;14745
39100;26876;17621;15486;15480;14671;14824;15197
39200;25732;17232;15136;15108;15562;14419;15013
39300;25787;17324;15233;15437;14531;14512;14950
39400;26466;17507;15273;15379;14581;15675;15138
39500;25828;17384;15264;15256;15260;14590;15012
39600;27001;17299;16042;15307;14942;14555;14990
39700;27846;17590;15501;15332;14675;14944;15855
39800;26225;17710;15711;15526;14688;14715;16045
39900;26279;18084;15471;15552;14711;16476;15223
40000;26396;17781;15495;15518;15617;14725;15225
40100;26390;17625;15484;16299;14819;14813;15142
40200;26511;17689;15711;16311;15583;14825;15301
40300;26506;17748;16396;15712;15733;14939;15312
40400;27661;17780;16088;15783;15079;15627;16327
40500;27382;18237;15838;16401;16109;16130;15583
40600;27113;18545;15866;15861;15244;15202;15676
40700;27659;18390;16337;16918;15197;15321;15785
40800;27419;18280;15965;16421;16369;15559;15900
40900;27041;18627;16616;15889;15265;15189;15649
41000;27233;17933;15898;15920;15216;15262;17657
41100;27284;18157;16065;17668;15649;15360;15845
41200;27297;18290;16064;17309;15451;15953;15797
41300;27336;19118;16986;15956;15472;16008;16031
41400;27745;18740;16973;16003;16025;15400;15981
41500;27589;18376;16607;16651;17387;16121;16722
41600;27605;18669;16450;16486;15771;15506;16768
41700;27612;19155;16523;16107;15608;15428;15990
41800;27584;19522;16593;16424;16766;15502;16032
41900;28033;19208;16789;16504;16129;16959;16748
42000;31699;21339;18640;22743;22040;20598;23919
42100;38422;25710;22764;22516;23260;23000;24461
42200;40204;24580;21911;22662;21118;21065;23369
42300;39704;24518;22487;23118;23276;22222;23273
42400;38640;26458;21532;20568;22827;21901;22410
42500;34953;22968;22582;24001;21755;20598;20491
42600;31998;21702;20816;17915;19565;18490;18166
42700;28402;19893;18372;16751;16744;15491;15854
42800;27700;19338;18071;16512;16396;16177;16294
42900;29857;20551;19489;17323;17647;16725;16900
43000;29651;20695;18113;18103;19148;17567;20582
43100;36309;28103;25698;24476;25163;21645;20395
43200;33545;28532;24497;23543;23635;21832;21575
43300;41828;29602;27964;23887;23520;22167;23494
43400;39589;26434;23346;22379;23351;22028;24094
43500;41417;26543;21850;19686;20254;20537;20117
43600;30606;21418;19039;17477;18082;16994;18316
43700;30443;20978;19730;17708;17630;17238;18831
43800;40032;29585;22873;21402;20991;19812;22362
43900;38492;28427;25376;22674;22387;21972;25789
44000;36596;24148;21000;18647;18981;17224;18625
44100;38232;26359;23076;21474;25709;22117;23757
44200;40925;26460;23912;20757;21306;20181;22069
44300;31589;22178;20094;18143;17941;17420;17859
44400;31011;21878;19846;19355;17854;17507;18261
44500;30975;22733;19183;18130;18583;16873;17540
44600;29482;21163;19274;17864;17261;16628;17300
44700;32166;21868;21257;18015;17937;17319;19209
44800;30928;21735;21201;18190;18000;17113;18086
44900;31206;21919;19859;18936;17578;17148;18204
45000;30895;21699;19654;18305;17690;17545;18045
45100;31709;22305;20881;19008;18790;18457;18312
45200;30738;23128;21383;17631;18538;18656;17946
45300;30718;23340;20235;17696;18208;17528;18862
45400;30832;22969;21393;18283;18013;17282;19270
45500;31745;23260;20949;17987;17960;17372;19029
45600;31801;23134;20691;18940;18579;17575;18591
45700;31668;23333;20510;18614;18259;18624;19124
45800;32861;23036;20908;18832;18522;17475;17870
45900;31532;24107;20246;18266;18654;19116;18378
46000;32274;24882;20432;18542;18933;18144;18285
46100;32137;24102;20883;18991;19337;17697;18417
46200;31632;24864;20350;18370;18982;18065;18887
46300;33010;24299;20746;18240;18924;18986;18321
46400;32950;23868;20329;19118;19491;17925;18545
46500;32939;24090;20699;18884;19706;17884;18667
46600;33816;23921;20371;18934;18808;17560;19223
46700;32747;23717;21132;19262;18343;17737;18527
46800;31648;23254;20437;18028;18716;17650;19048
46900;32255;26621;20971;18749;20320;18107;18788
47000;32261;25179;20696;19266;18797;19020;18741
47100;31940;25822;21127;18241;19781;18504;18952
47200;33352;24349;21171;19294;18781;18087;18796
47300;31561;24580;20690;19499;19074;18958;18723
47400;34855;24573;21591;19300;19610;18380;19725
47500;33510;24322;21883;19124;19196;18260;20258
47600;32708;24844;22174;18953;18635;18999;19833
47700;33364;24330;21820;19885;18804;18689;19700
47800;33862;25664;21128;18923;20460;18147;20836
47900;33732;24980;22176;19141;19004;18221;19513
48000;32885;24579;22319;19668;19027;18289;20024
48100;33297;25461;21288;19220;18913;18899;19994
48200;34732;24989;21342;20025;19301;18571;20040
48300;32806;24830;21615;19714;19701;18849;19455
48400;33101;24649;21266;19904;18812;18257;19786
48500;32946;25214;21826;18805;19483;18815;19311
48600;33803;26081;21984;20106;19168;19233;20462
48700;34487;25984;21549;20294;20025;19316;19717
48800;33843;25478;21675;19840;19749;18595;20803
48900;33027;26117;22237;19482;18962;19945;19773
49000;34073;26416;21259;20018;20303;18512;20108
49100;34260;25438;22271;20506;19085;19144;20515
49200;33950;26582;22175;19157;19808;19526;20631
49300;33550;26837;21822;20585;19495;20150;20179
49400;34293;26565;21842;20401;19079;18663;20598
49500;33829;28319;23203;19450;19239;19209;21773
49600;34029;27490;21569;20528;21342;18755;20112
49700;34807;25906;23079;21217;19668;19711;21067
49800;33515;26740;22373;20347;19827;19665;21248
49900;37004;25784;23734;20194;20567;20677;21944
50000;34350;26680;21692;20242;19999;19752;21913
50100;34427;26399;21573;21209;20122;19700;21288
50200;35148;26560;22242;20171;19804;20270;21176
50300;34966;26388;22716;20664;19879;19954;21464
50400;34263;26429;22151;20779;20156;19830;20745
50500;35874;26776;23526;20908;19830;19457;20635
50600;35249;26989;22877;20084;20553;20264;21457
50700;35292;27695;22760;20508;20914;19576;21157
50800;35060;27311;22684;20724;20928;20468;22544
50900;35191;27328;23460;19849;20660;20683;20636
51000;34806;27352;22782;20100;21213;20103;20750
51100;35443;26601;24043;19839;20226;20883;20795
51200;35373;25912;21964;20279;19860;19631;20748
51300;34400;27112;23078;19792;21151;20744;20804
51400;36201;26176;22922;21219;20911;20351;21771
51500;35203;27135;22457;20552;20571;19430;20391
51600;34444;27439;22884;21010;20240;20359;21290
51700;35429;27809;22832;20793;21022;20190;20770
51800;34307;26153;22533;20504;20041;19614;20059
51900;34540;26239;22438;20011;20056;20261;20106
52000;34886;26277;22413;20051;20039;19730;19889
52100;34610;27182;22490;20075;20220;19659;19815
52200;34377;26301;22910;20036;20118;19806;19716
52300;34450;26404;22662;20029;20758;19772;19734
52400;34528;26439;22489;20188;20675;19773;19760
52500;35292;26469;22513;20276;20330;19886;19841
52600;35226;26795;22574;20253;20273;19910;19903
52700;34734;27268;22554;20361;20416;19911;20090
52800;34784;26460;22593;20948;20321;20251;19937
52900;34912;26564;22786;20442;20984;20010;20052
53000;34968;26535;22656;20402;20428;20027;20613
53100;35515;26541;22826;20493;20409;20043;20214
53200;35039;27299;22698;20511;20691;20118;20100
53300;35061;26652;23537;20565;20518;20240;20164
53400;35102;26878;23613;21489;20575;20189;20205
53500;35264;26754;22955;20628;20531;20755;20480
53600;35223;26785;23032;20648;20754;20857;20344
53700;35713;26882;22899;20724;20747;20329;20537
53800;36114;26886;22959;20744;21048;20401;20452
53900;35405;27452;22974;20778;20801;20620;20581
54000;35479;26995;23403;21013;20841;20470;20553
54100;35600;26942;22986;21506;20917;20598;20752
54200;35519;26978;23672;20939;21880;20549;21281
54300;38175;28508;24451;22690;22088;21673;21979
54400;35716;27052;23135;21021;21496;20683;20699
54500;36263;27171;23220;21403;21686;21500;21040
54600;35885;27111;23207;21060;21054;20817;21392
54700;35857;27383;23284;21163;21063;20765;21407
54800;36003;27078;23176;21094;21141;20790;21356
54900;36080;27214;23213;21127;21266;20805;20780
55000;36523;27415;23213;21205;21141;20845;20919
55100;36765;27123;23279;21226;21207;20924;20977
55200;36034;27730;23268;21271;21262;20897;21062
55300;35991;27847;23270;21275;21265;21054;21193
55400;36175;27184;23877;21224;21461;21085;21049
55500;37185;27446;23523;22252;21775;21485;21112
55600;37360;27752;24231;22073;22701;21687;21571
55700;36787;27787;23805;21961;21965;21407;21240
55800;36267;27322;23445;22243;21501;21289;21219
55900;36405;27297;23379;22135;21530;21389;21547
56000;36433;27368;23421;22183;21654;21477;21376
56100;36544;27446;23456;22355;21640;21464;21493
56200;36504;27381;23497;22281;21815;21389;21384
56300;36507;27373;23709;21906;22467;21531;21450
56400;36717;28098;23528;21741;22361;21491;21497
56500;36824;27529;23563;21971;22243;21632;21510
56600;37131;27557;23693;21917;22714;21650;21769
56700;36698;27781;23625;21905;22622;21673;21639
56800;36985;27621;23591;22046;22646;21613;21737
56900;36890;27596;23661;21938;22615;21909;21674
57000;36977;28053;23811;21968;22621;21754;21733
57100;36877;27568;23811;22016;22805;21765;21943
57200;37052;27727;23673;22029;22530;21861;21927
57300;36991;27729;23671;22181;23829;21853;21911
57400;37066;27672;23725;22684;22177;21894;21810
57500;37145;27830;23762;22713;22160;21933;21995
57600;37611;27983;24559;22451;22547;21948;21984
57700;37320;27769;24363;22269;22676;22013;22092
57800;37818;27808;24462;22453;22890;22119;22363
57900;37390;28536;24056;22327;22370;22113;22130
58000;37538;28344;23980;22514;22403;22182;22182
58100;37532;28593;24128;22464;22380;22350;22197
58200;38396;27960;24032;22469;22508;22265;22318
58300;38225;28058;24201;22585;22592;22309;22236
58400;38450;28075;24182;22664;22536;22449;23453
