Size;Standard;Hybrid_5;Hybrid_10;Hybrid_15;Hybrid_20;Hybrid_30;Hybrid_50
31100;25302;17606;14030;12970;12401;11930;11226
31200;28693;21533;16714;16154;15582;13032;13780
31300;26986;21530;18765;15977;15250;14810;11936
31400;24073;16145;14066;13251;12532;12057;11321
31500;25084;16438;14374;13597;12534;12297;10833
31600;24440;16174;14177;13338;12713;12363;11383
31700;26119;16257;14184;13556;12272;12477;11406
31800;24547;16282;14483;13369;12420;12544;11473
31900;24748;16488;14359;13501;12851;12610;11487
32000;24936;17509;14605;14190;12708;12683;11617
32100;24584;16541;14329;13798;12712;12712;11742
32200;25419;16802;14351;14116;12810;12704;11674
32300;25471;17144;14724;14056;12761;12762;11789
32400;25257;16741;14678;14128;12764;13058;11835
32500;24816;16582;14419;14236;12805;12815;12091
32600;25239;16617;15228;14569;12837;12847;11691
32700;25057;16705;14601;15119;12833;12865;11724
32800;24925;16654;14597;14437;13172;13399;11604
32900;25016;16972;14482;14894;13286;12930;12000
33000;25090;16910;14489;15132;13119;13010;11877
33100;25213;17122;14634;14983;13045;13015;11962
33200;25861;16818;14758;14837;13214;13337;11889
33300;25758;17357;14736;15265;13505;13250;11954
33400;25507;17028;15318;14983;13110;13101;11984
33500;25603;16962;14809;14777;13134;13102;12012
33600;26375;17069;15927;14892;13507;13314;11798
33700;25948;17038;14845;14923;12947;13436;12154
33800;25894;17049;15136;15161;13389;13181;12821
33900;26429;17152;15101;15038;13324;13490;12094
34000;26306;17430;14971;14933;13308;13638;12110
34100;26580;17287;15005;15026;13536;13449;12383
34200;26404;17645;15245;15711;13364;13583;12394
34300;26129;17564;15642;14898;13350;13822;12242
34400;26354;17279;15416;15030;13434;13417;12360
34500;26738;17562;15460;15060;13451;13441;12308
34600;26512;17341;15309;15558;13442;13448;12268
34700;26932;17320;15144;15104;13672;13472;12318
34800;26947;17379;15330;15183;13483;13550;12332
34900;27323;17620;15305;15209;13567;13669;12312
35000;26895;17576;15514;15530;14089;13542;12580
35100;27193;17545;15556;14924;13656;13816;12816
35200;27147;17673;15214;15655;13705;13932;12422
35300;27146;17560;15358;15339;13631;13629;12429
35400;27380;17596;15611;15753;13705;13680;12483
35500;28141;17777;15475;15613;14125;13962;12513
35600;27272;17922;15489;15760;13612;13690;12878
35700;28378;18696;15706;15434;13790;14058;12553
35800;27696;17999;15766;15535;14332;13798;12620
35900;28034;17869;15631;15622;13939;13932;12441
36000;28080;18189;15572;15662;13924;14121;12666
36100;27901;18246;15582;15640;14605;14108;12680
36200;27875;18114;15474;15710;13850;13972;13202
36300;28324;18819;15688;15723;13961;13956;12742
36400;27981;17460;15707;15700;14035;13944;12744
36500;29190;17997;16140;15759;14048;13996;12656
36600;28101;18218;15773;15719;14031;14010;12828
36700;28486;18107;17684;16213;14117;14530;12885
36800;28848;18118;16263;16040;14169;13843;12889
36900;28323;18325;15863;15876;14133;14100;13031
37000;28898;19316;16110;16041;14348;14285;13520
37100;29124;18202;15991;16215;14155;14584;12948
37200;28695;18262;16090;16419;14232;14252;13302
37300;29230;18612;16311;16272;14677;14288;13194
37400;28896;18541;16161;16010;14278;14504;13253
37500;29367;18526;16435;16197;14313;14298;13077
37600;29280;18456;16127;16427;14703;14573;13061
37700;29143;18805;16901;16180;14384;14344;13086
37800;29541;18846;16235;16201;14395;14623;13460
37900;30137;19179;16696;16578;15191;14485;13150
38000;30436;18611;16827;16296;14474;14461;13209
38100;29790;18828;16548;16301;15621;14762;13607
38200;30850;18787;16404;16724;15179;15115;13356
38300;29695;18664;16657;16399;14778;14541;13329
38400;29652;18674;16314;16650;14725;14699;13533
38500;30256;19016;16556;16382;14689;14939;13387
38600;30339;18964;16466;16387;14914;14643;13354
38700;29756;18821;16421;16418;14666;14384;13408
38800;29949;19223;16648;17596;14912;14665;13426
38900;29935;18865;16450;16631;14740;14676;13486
39000;30491;19103;16772;16505;14804;14476;13486
39100;30469;19127;16617;16617;14812;14779;13493
39200;31100;19078;16598;16417;14933;15200;13956
39300;29972;19197;16622;16649;15088;14862;13630
39400;30367;19093;16653;16665;14939;14953;14313
39500;30987;18966;16723;16764;14716;14924;14272
39600;30793;19375;16857;16914;14920;14928;13951
39700;30625;19136;16744;16837;14931;14916;13916
39800;30833;19224;16832;16899;14980;14975;13658
39900;31203;19226;16789;16951;15018;15016;13965
40000;31051;19579;17053;16884;15085;15056;13763
40100;30442;19292;16862;17098;15338;15143;14205
40200;31161;19308;16915;17454;15136;15025;13774
40300;31296;19410;16929;17636;15467;15185;13866
40400;30653;19405;16796;17113;15475;15158;14057
40500;31592;19451;17094;16967;15205;15185;14052
40600;31504;19458;16992;17002;15524;15498;14140
40700;31689;21312;17190;17192;15102;15236;13960
40800;31651;19510;17007;17319;15330;15352;14057
40900;32018;19561;17104;17082;15321;15268;13908
41000;31469;19905;17303;17180;15375;15700;14115
41100;31796;19859;17748;17236;15528;15785;14218
41200;32196;20026;17645;17573;15423;16209;14324
41300;31868;20061;17547;17403;15995;15799;14186
41400;32435;20163;17888;17306;16059;15483;14196
41500;32220;20064;17713;17322;16057;15614;14470
41600;32709;21106;18697;18250;16019;15396;14534
41700;33115;21525;20462;18562;17726;16091;15134
41800;36475;22042;19068;18788;18642;18682;18298
41900;36917;21834;19808;19922;20448;20838;19397
42000;37688;29967;28264;26389;21214;18190;19879
42100;38486;25842;22066;23302;17510;18276;19023
42200;39551;26846;22251;23500;21758;22603;20797
42300;37707;22222;19170;18328;15793;16269;15048
42400;23648;14999;12548;11651;10927;10082;9214
42500;22406;13932;12939;11894;11936;11045;9878
42600;22862;14419;13299;12031;11791;10536;9433
42700;21771;14233;12260;11908;11199;10182;9319
42800;21302;13463;12215;11444;11628;10117;9241
42900;23666;14003;12694;11678;11210;10058;9241
43000;21853;14051;12416;11271;11822;10111;9219
43100;21960;14402;12900;11807;11579;11358;9976
43200;21954;14184;12399;11407;12534;11113;10598
43300;22029;14414;12313;11364;12088;10335;9605
43400;21416;13729;12886;11409;11404;10214;9320
43500;22391;13902;12620;12411;11871;10291;9774
43600;22162;14074;12658;11888;12602;10459;9605
43700;23219;14482;13119;11687;11662;11239;9762
43800;21898;14069;12700;11521;11777;10334;10213
43900;22693;14907;13729;12126;11879;10703;10159
44000;22834;14740;12889;11609;11756;10543;10010
44100;22339;14122;13239;11826;12060;10622;10278
44200;21902;14513;13655;11745;11554;11336;9534
44300;22422;14714;13007;12319;12076;11645;9982
44400;23127;15454;14084;11810;12781;11565;9932
44500;22796;14588;13423;12949;11776;10955;9856
44600;25626;16180;14649;12089;12314;11679;10805
44700;24321;15408;13755;12312;12801;11312;10135
44800;24009;16108;14181;12319;12801;11857;10553
44900;22219;15304;13387;11691;11641;10656;10030
45000;22997;16071;13709;12115;12087;11093;10372
45100;23049;14760;14915;14097;12353;10624;10265
45200;26213;16044;13467;11734;11713;10576;9860
45300;23171;16044;13988;12763;12451;11423;10172
45400;24100;15956;14655;12486;12784;11688;10601
45500;24883;15720;14318;13040;12289;11825;10124
45600;25806;16737;15372;14089;13544;12042;10603
45700;23784;16285;15466;12829;12658;11002;10837
45800;24184;15954;14777;12511;12571;11849;10350
45900;24368;16605;15140;13216;13420;11534;10890
46000;23622;15997;14163;12506;12560;10854;9902
46100;22879;15601;13675;11964;11935;10726;10089
46200;23018;16192;14350;12738;12143;11679;10001
46300;26357;16312;14891;13021;14219;11976;11665
46400;25329;17442;15257;12688;12997;11456;11880
46500;24186;16161;14268;12529;12457;11567;10170
46600;24216;16757;14532;12999;12584;11513;10730
46700;23616;16311;14224;12420;12792;11367;10649
46800;24026;16230;14566;12388;12538;11089;10571
46900;23637;16394;14607;12237;12495;11334;10381
47000;23384;16496;15162;13068;13026;11484;10477
47100;24436;17097;14457;12600;12468;11109;10272
47200;23879;16824;14550;12440;12927;11403;10688
47300;24031;17602;14845;13472;13889;12021;10102
47400;25358;16253;14241;12284;12223;11408;10299
47500;24307;17122;14170;12624;12964;11592;10613
47600;24320;17432;14725;12442;12559;12473;10722
47700;24499;16511;15377;13979;12853;11620;10131
47800;23745;16431;14934;12430;13211;11434;10940
47900;24226;17632;14866;12861;13640;11534;10812
48000;24662;17671;15152;13158;13006;12029;10591
48100;25623;17394;14876;13439;13105;11863;10786
48200;24724;18080;14817;13568;12670;11355;10274
48300;24117;17232;14976;12436;12603;11260;10307
48400;24471;17530;15422;13015;12807;12050;10768
48500;25540;17270;15364;13349;13688;11455;10418
48600;25091;17680;14958;13339;13031;11985;10375
48700;26346;17927;15215;13561;13285;12320;13447
48800;25916;17468;14920;13509;13662;12416;11410
48900;27014;18922;16054;14400;13630;12008;11208
49000;25477;17774;15011;13578;13411;11571;11678
49100;27545;19696;17259;14409;15788;13101;11932
49200;26845;18084;15147;13378;13200;12504;11319
49300;25648;17906;15161;13198;13252;12665;11072
49400;26559;18134;15214;13238;13992;11879;10991
49500;25919;18964;15371;13440;13732;12038;10958
49600;25716;18114;16299;13494;13524;12325;10932
49700;25708;18069;15157;13262;14239;12849;10924
49800;25633;18116;15222;13318;13354;12042;10975
49900;26082;19285;15401;13453;13397;12010;10955
50000;26646;18189;15974;13544;13380;12337;11083
50100;26163;18301;15576;14456;13528;12178;11048
50200;25928;18131;16039;13363;13364;12006;10970
50300;26705;19049;16952;15080;14359;12881;12197
50400;27678;18803;16264;13612;14552;12793;11566
50500;26720;19194;15603;13748;13516;12220;11180
50600;26388;18437;15738;13756;13838;13121;11335
50700;27471;19432;16038;14136;13911;12723;11835
50800;26932;18954;15980;14095;14358;12570;11594
50900;28814;18909;16161;13743;13633;12328;11405
51000;26435;19033;15741;13602;13788;12918;11366
51100;27113;18482;15596;13705;13777;12421;11457
51200;26760;18969;15700;13817;13651;12540;11473
51300;26510;18333;15491;13603;13595;12263;11315
51400;26434;18402;15537;13717;13822;12313;11416
51500;26911;18735;15604;13710;14058;12382;11726
51600;27474;18526;15705;13814;13718;12422;11807
51700;26865;19121;15933;14206;13882;12391;12074
51800;27084;19955;15643;13781;13779;12510;12048
51900;27008;18667;16692;13920;13920;12490;12211
52000;28806;18824;15778;13950;14506;13881;12894
52100;27061;18505;15774;14459;13790;12549;12385
52200;28394;19022;16666;14049;14944;12498;12513
52300;27574;18691;15921;13968;14601;12465;12888
52400;27305;18711;15925;14443;13909;12891;12792
52500;27238;18895;16181;14828;14009;12642;12534
52600;27284;18691;16110;14708;14282;12747;12720
52700;27790;18719;16278;14006;14024;12528;12502
52800;27842;18822;16206;13935;13903;12846;12669
52900;28260;19178;16311;14436;14104;12672;12975
53000;28590;20457;16015;14297;14366;13574;14661
53100;31974;22496;18966;15798;17039;13984;13102
53200;28816;19930;16425;14604;15003;13507;14074
53300;31416;21549;18313;15812;16004;14832;14249
53400;28991;19220;16387;14635;14665;13199;12721
53500;28637;19980;17410;15005;15186;13289;13645
53600;28355;18845;16436;15174;15063;13484;12597
53700;27805;19030;16274;14149;14190;13314;13598
53800;27557;18865;16160;14156;14152;12719;12702
53900;27828;19195;16285;14265;14449;12834;15100
54000;29569;20443;16328;14373;14403;14257;13674
54100;30157;19712;17096;15892;15101;14276;14131
54200;28747;19872;16466;14297;14337;13698;13131
