dataset,n,algorithm,time_us,symbol_ops
nearly_sorted,2100,quick_sort,3362.29,34521
nearly_sorted,2100,merge_sort,4801,26195
nearly_sorted,2100,string_quick_sort,1398.71,19221
nearly_sorted,2100,string_merge_sort_lcp,22787.1,9669
nearly_sorted,2100,msd_radix_sort,4517.86,10058
nearly_sorted,2100,msd_radix_sort_switch,2356.14,12022
nearly_sorted,2200,quick_sort,4013.57,35455
nearly_sorted,2200,merge_sort,5312,27362
nearly_sorted,2200,string_quick_sort,1696.29,20175
nearly_sorted,2200,string_merge_sort_lcp,19688.9,10100
nearly_sorted,2200,msd_radix_sort,3893.29,10548
nearly_sorted,2200,msd_radix_sort_switch,1459.29,12640
nearly_sorted,2300,quick_sort,3811.43,37465
nearly_sorted,2300,merge_sort,5280,28532
nearly_sorted,2300,string_quick_sort,1695.86,21554
nearly_sorted,2300,string_merge_sort_lcp,23249,10524
nearly_sorted,2300,msd_radix_sort,4139.57,11006
nearly_sorted,2300,msd_radix_sort_switch,1671.86,13221
nearly_sorted,2400,quick_sort,4110.43,39138
nearly_sorted,2400,merge_sort,6182.14,29877
nearly_sorted,2400,string_quick_sort,1862.71,22551
nearly_sorted,2400,string_merge_sort_lcp,19610,11060
nearly_sorted,2400,msd_radix_sort,4103.57,11484
nearly_sorted,2400,msd_radix_sort_switch,1604.57,13811
nearly_sorted,2500,quick_sort,4206.57,39419
nearly_sorted,2500,merge_sort,5735.86,31594
nearly_sorted,2500,string_quick_sort,1846.43,24164
nearly_sorted,2500,string_merge_sort_lcp,21148.7,11644
nearly_sorted,2500,msd_radix_sort,4254.71,11990
nearly_sorted,2500,msd_radix_sort_switch,1679.14,14420
nearly_sorted,2600,quick_sort,3977.86,40543
nearly_sorted,2600,merge_sort,5922.57,33125
nearly_sorted,2600,string_quick_sort,1970.57,24838
nearly_sorted,2600,string_merge_sort_lcp,22045.4,12316
nearly_sorted,2600,msd_radix_sort,4418,12480
nearly_sorted,2600,msd_radix_sort_switch,1784,15089
nearly_sorted,2700,quick_sort,4006.57,41254
nearly_sorted,2700,merge_sort,6312.71,34490
nearly_sorted,2700,string_quick_sort,1994.86,25788
nearly_sorted,2700,string_merge_sort_lcp,22758.3,12760
nearly_sorted,2700,msd_radix_sort,4650.86,12996
nearly_sorted,2700,msd_radix_sort_switch,1847.86,15730
nearly_sorted,2800,quick_sort,4076.14,42161
nearly_sorted,2800,merge_sort,6404,36046
nearly_sorted,2800,string_quick_sort,2202.57,26997
nearly_sorted,2800,string_merge_sort_lcp,25474.1,13479
nearly_sorted,2800,msd_radix_sort,4836.71,13490
nearly_sorted,2800,msd_radix_sort_switch,1911.71,16370
nearly_sorted,2900,quick_sort,4366.43,45182
nearly_sorted,2900,merge_sort,6602.43,37038
nearly_sorted,2900,string_quick_sort,2263.57,28705
nearly_sorted,2900,string_merge_sort_lcp,24336.4,13843
nearly_sorted,2900,msd_radix_sort,4957.43,13966
nearly_sorted,2900,msd_radix_sort_switch,2081.14,16998
nearly_sorted,3000,quick_sort,6548.86,47340
nearly_sorted,3000,merge_sort,7655.29,39044
nearly_sorted,3000,string_quick_sort,2309.29,29550
nearly_sorted,3000,string_merge_sort_lcp,29604.1,14694
nearly_sorted,3000,msd_radix_sort,5929.57,14454
nearly_sorted,3000,msd_radix_sort_switch,2052.29,17651
